mm,yy,Longitude,Latitude,Rain
01,2010,69.75,27.75,0.0
01,2010,69.75,28.00,0.0
01,2010,69.75,28.25,0.0
01,2010,69.75,28.50,0.0
01,2010,69.75,28.75,0.0
01,2010,69.75,29.00,0.0
01,2010,69.75,29.25,0.0
01,2010,69.75,29.50,0.0
01,2010,69.75,29.75,0.0
01,2010,70.00,18.25,0.0
01,2010,70.00,18.50,0.0
01,2010,70.00,18.75,0.0
01,2010,70.00,19.00,0.0
01,2010,70.00,19.25,0.0
01,2010,70.00,19.50,0.0
01,2010,70.00,19.75,0.0
01,2010,70.00,20.00,0.0
01,2010,70.00,20.25,0.0
01,2010,70.00,20.50,0.0
01,2010,70.00,20.75,0.0
01,2010,70.00,21.00,0.0
01,2010,70.00,21.25,0.0
01,2010,70.00,21.50,0.0
01,2010,70.00,21.75,0.0
01,2010,70.00,22.00,0.0
01,2010,70.00,22.25,0.0
01,2010,70.00,22.50,0.0
01,2010,70.00,22.75,0.0
01,2010,70.00,23.00,0.0
01,2010,70.00,23.25,0.0
01,2010,70.00,23.50,0.0
01,2010,70.00,23.75,0.0
01,2010,70.00,24.00,0.0
01,2010,70.00,24.25,0.0
01,2010,70.00,24.50,0.0
01,2010,70.00,24.75,0.0
01,2010,70.00,25.00,0.0
01,2010,70.00,25.25,0.0
01,2010,70.00,25.50,0.0
01,2010,70.00,25.75,0.0
01,2010,70.00,26.00,0.0
01,2010,70.00,26.25,0.0
01,2010,70.00,26.50,0.0
01,2010,70.00,26.75,0.0
01,2010,70.00,27.00,0.0
01,2010,70.00,27.25,0.0
01,2010,70.00,27.50,0.0
01,2010,70.00,27.75,0.0
01,2010,70.00,28.00,0.0
01,2010,70.00,28.25,0.0
01,2010,70.00,28.50,0.0
01,2010,70.00,28.75,0.0
01,2010,70.00,29.00,0.0
01,2010,70.00,29.25,0.0
01,2010,70.00,29.50,0.0
01,2010,70.00,29.75,0.0
01,2010,70.25,18.25,0.0
01,2010,70.25,18.50,0.0
01,2010,70.25,18.75,0.0
01,2010,70.25,19.00,0.0
01,2010,70.25,19.25,0.0
01,2010,70.25,19.50,0.0
01,2010,70.25,19.75,0.0
01,2010,70.25,20.00,0.0
01,2010,70.25,20.25,0.0
01,2010,70.25,20.50,0.6
01,2010,70.25,20.75,0.0
01,2010,70.25,21.00,0.0
01,2010,70.25,21.25,0.0
01,2010,70.25,21.50,3.8
01,2010,70.25,21.75,0.0
01,2010,70.25,22.00,0.0
01,2010,70.25,22.25,0.0
01,2010,70.25,22.50,2.2
01,2010,70.25,22.75,3.8
01,2010,70.25,23.00,0.0
01,2010,70.25,23.25,0.0
01,2010,70.25,23.50,0.0
01,2010,70.25,23.75,5.8
01,2010,70.25,24.00,0.0
01,2010,70.25,24.25,0.0
01,2010,70.25,24.50,0.0
01,2010,70.25,24.75,10.1
01,2010,70.25,25.00,0.0
01,2010,70.25,25.25,0.0
01,2010,70.25,25.50,0.0
01,2010,70.25,25.75,3.0
01,2010,70.25,26.00,0.2
01,2010,70.25,26.25,0.0
01,2010,70.25,26.50,0.0
