mm,yy,Longitude,Latitude,Rain
01,2016,68.75,20.25,0.0
01,2016,68.75,20.50,0.0
01,2016,68.75,20.75,0.0
01,2016,68.75,21.00,0.0
01,2016,68.75,21.25,0.0
01,2016,68.75,21.50,0.0
01,2016,68.75,21.75,0.0
01,2016,68.75,22.00,0.0
01,2016,68.75,22.25,0.0
01,2016,68.75,22.50,0.0
01,2016,68.75,22.75,0.0
01,2016,68.75,23.00,0.0
01,2016,68.75,23.25,0.0
01,2016,68.75,23.50,0.0
01,2016,68.75,23.75,0.0
01,2016,68.75,24.00,0.0
01,2016,68.75,24.25,0.0
01,2016,68.75,24.50,0.0
01,2016,69.00,20.25,0.0
01,2016,69.00,20.50,0.0
01,2016,69.00,20.75,0.0
01,2016,69.00,21.00,0.0
01,2016,69.00,21.25,0.0
01,2016,69.00,21.50,0.0
01,2016,69.00,21.75,0.0
01,2016,69.00,22.00,0.0
01,2016,69.00,22.25,0.0
01,2016,69.00,22.50,0.0
01,2016,69.00,22.75,0.0
01,2016,69.00,23.00,0.0
01,2016,69.00,23.25,0.0
01,2016,69.00,23.50,0.0
01,2016,69.00,23.75,0.0
01,2016,69.00,24.00,0.0
01,2016,69.00,24.25,0.0
01,2016,69.00,24.50,0.0
01,2016,69.25,20.25,0.0
01,2016,69.25,20.50,0.0
01,2016,69.25,20.75,0.0
01,2016,69.25,21.00,0.0
01,2016,69.25,21.25,0.0
01,2016,69.25,21.50,0.0
01,2016,69.25,21.75,0.0
01,2016,69.25,22.00,0.0
01,2016,69.25,22.25,0.0
01,2016,69.25,22.50,0.0
01,2016,69.25,22.75,0.0
01,2016,69.25,23.00,0.0
01,2016,69.25,23.25,0.0
01,2016,69.25,23.50,0.0
01,2016,69.25,23.75,0.0
01,2016,69.25,24.00,0.0
01,2016,69.25,24.25,0.0
01,2016,69.25,24.50,0.0
01,2016,69.50,20.25,0.0
01,2016,69.50,20.50,0.0
01,2016,69.50,20.75,0.0
01,2016,69.50,21.00,0.0
01,2016,69.50,21.25,0.0
01,2016,69.50,21.50,0.0
01,2016,69.50,21.75,0.0
01,2016,69.50,22.00,0.0
01,2016,69.50,22.25,0.0
01,2016,69.50,22.50,0.0
01,2016,69.50,22.75,0.0
01,2016,69.50,23.00,0.0
01,2016,69.50,23.25,0.0
01,2016,69.50,23.50,0.0
01,2016,69.50,23.75,0.0
01,2016,69.50,24.00,0.0
01,2016,69.50,24.25,0.0
01,2016,69.50,24.50,0.0
01,2016,69.75,20.25,0.0
01,2016,69.75,20.50,0.0
01,2016,69.75,20.75,0.0
01,2016,69.75,21.00,0.0
01,2016,69.75,21.25,0.0
